Sentiment,Instagram Comment Text,Clean Instagram Comment Text,Normalized_Text,StopWords,Final
negative,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah menurut agama islam hanya yaitu adanya cpp adanya cpw saksi wali nikah dan mas kawin mahar perkara makeup gak manglingi bukan syarat sah pernikahan sekalipun gak makeup tapi syarat yg tersebut terpenuhi maka pernikahannya sah yak emak emak julids,syarat sah nikah menurut agama islam hanya yaitu adanya cpp adanya cpw saksi wali nikah dan mas kawin mahar perkara makeup enggak manglingi bukan syarat sah pernikahan sekalipun enggak makeup tapi syarat yang tersebut terpenuhi maka pernikahannya sah ya emak emak julids,syarat sah nikah agama islam adanya cpp adanya cpw saksi wali nikah mas kawin mahar perkara makeup enggak manglingi bukan syarat sah pernikahan sekalipun enggak makeup syarat tersebut terpenuhi pernikahannya sah emak emak julids,syarat sah nikah agama islam adanya cpp adanya cpw saksi wali nikah mas kawin mahar perkara makeup enggak manglingi bukan syarat sah pernikahan sekalipun enggak makeup syarat tersebut terpenuhi pernikahannya sah emak emak julids
negative,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek gatau diri nih ngerebut pacar org udh mana punya abang yg ngedukung sifat jeleknya lg ckck,cewek enggak tau diri nih merebut pacar orang sudah mana punya abang yang mendukung sifat jeleknya lagi ckck,cewek enggak tau diri nih merebut pacar orang mana punya abang mendukung sifat jeleknya ckck,cewek enggak tau diri nih merebut pacar orang mana punya abang mendukung sifat jeleknya ckck
negative, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,username eh situ siapa kids jaman now ya kebanyakan micin mna kata aku yg ngina bego dipelihara,username eh situ siapa kids jaman sekarang ya kebanyakan micin mana kata aku yang ngina bodoh dipelihara,username eh situ siapa kids jaman sekarang kebanyakan micin mana kata aku ngina bodoh dipelihara,username eh situ siapa kids jaman sekarang kebanyakan micin mana kata aku ngina bodoh dipelihara
negative,Jijik liatnya suer deh minceeee,jijik liatnya suer deh mincee,jijik lihatnya suer deh mincee,jijik lihatnya suer deh mincee,jijik lihatnya suer deh mincee
negative,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",emang bukan hal tabu ciuman gitu iya emang tapi yg bikin eneg itu pencitraan nya yg sok alim sok baik sok bijak dan sok sok yg lainya seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan bukan sok alim atau sok suci serius,memang bukan hal tabu ciuman begitu iya memang tapi yang membuat eneg itu pencitraan nya yang berlaga alim berlaga baik berlaga bijak dan berlaga berlaga yang lainya seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan bukan berlaga alim atau berlaga suci serius,memang bukan tabu ciuman iya memang membuat eneg pencitraan nya berlaga alim berlaga baik berlaga bijak berlaga berlaga lainya seandainya lebih apa adanya lebih baik pencitraan bukan berlaga alim berlaga suci serius,memang bukan tabu ciuman iya memang membuat eneg pencitraan nya berlaga alim berlaga baik berlaga bijak berlaga berlaga lainya seandainya lebih apa adanya lebih baik pencitraan bukan berlaga alim berlaga suci serius
negative,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",yg jd masalah disini adalah mereka ciuman dpn org bnyk yg seharusnya sih punya rasa malu kecuali mgkn lg mabok jd gak ada rasa malu mereka berteman helow sebuah pertemanan tdk akan melibatkan ciuman bibir coba aja kalian bayangin sanggup gak ciuman bibir ma teman pasti lbh dr teman lah itu dasar kelakuan kids jaman now yg emg bego bukan krn kebanyakan micin lho yah,yang jadi masalah disini adalah mereka ciuman depan orang banyak yang seharusnya sih punya rasa malu kecuali mungkin lagi mabok jadi enggak ada rasa malu mereka berteman helow sebuah pertemanan tidak akan melibatkan ciuman bibir coba saja kalian bayangkan sanggup enggak ciuman bibir sama teman pasti lebih dokter teman lah itu dasar kelakuan kids jaman sekarang yang memang bodoh bukan karena kebanyakan micin lho ya,jadi masalah disini ciuman depan orang banyak sih punya rasa malu mungkin mabok jadi enggak rasa malu berteman helow sebuah pertemanan melibatkan ciuman bibir coba kalian bayangkan sanggup enggak ciuman bibir sama teman lebih dokter teman lah dasar kelakuan kids jaman sekarang memang bodoh bukan kebanyakan micin lho,jadi masalah disini ciuman depan orang banyak sih punya rasa malu mungkin mabok jadi enggak rasa malu berteman helow sebuah pertemanan melibatkan ciuman bibir coba kalian bayangkan sanggup enggak ciuman bibir sama teman lebih dokter teman lah dasar kelakuan kids jaman sekarang memang bodoh bukan kebanyakan micin lho
negative,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,anjing nya ngamuk hidup kok dmana pny musuh udh kliatan mna yg baik dan bukan org baik ga pny byk musuh,anjing nya ngamuk hidup kok dimana punya musuh sudah kelihatan mana yang baik dan bukan orang baik enggak punya banyak musuh,anjing nya ngamuk hidup kok punya musuh kelihatan mana baik bukan orang baik enggak punya banyak musuh,anjing nya ngamuk hidup kok punya musuh kelihatan mana baik bukan orang baik enggak punya banyak musuh
negative," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",username ah katanya jaga ucapan lahh ucapan dia ngk dijaga sendiri dasar munafik dasar betina zaman now ellu kali yangg kelebihan micin loe sendiri otak loe kan di selangkangan mana paham semoga tuhan ampunin kemunafikan loe cun,username ah katanya jaga ucapan lah ucapan dia enggak dijaga sendiri dasar munafik dasar betina zaman sekarang ellu kali yangg kelebihan micin lo sendiri otak lo akan di selangkangan mana paham semoga tuhan ampunin kemunafikan lo cun,username ah katanya jaga ucapan lah ucapan enggak dijaga sendiri dasar munafik dasar betina zaman sekarang ellu kali yangg kelebihan micin lo sendiri otak lo selangkangan mana paham semoga tuhan ampunin kemunafikan lo cun,username ah katanya jaga ucapan lah ucapan enggak dijaga sendiri dasar munafik dasar betina zaman sekarang ellu kali yangg kelebihan micin lo sendiri otak lo selangkangan mana paham semoga tuhan ampunin kemunafikan lo cun
negative," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",username yaa ampun ini upil naruto katanya makin mencerminkan klo dia yg sebenarnya pecun pengalaman banget lu yaa kesian gua jadi prihatin mati aj deh lu ngotorin dunia manusia macam kau,username ya ampun ini upil naruto katanya makin mencerminkan kalo dia yang sebenarnya pecun pengalaman banget kamu ya kesian saya jadi prihatin mati saja deh kamu ngotorin dunia manusia macam anda,username ampun upil naruto katanya makin mencerminkan kalo sebenarnya pecun pengalaman banget kamu kesian jadi prihatin mati deh kamu ngotorin dunia manusia macam,username ampun upil naruto katanya makin mencerminkan kalo sebenarnya pecun pengalaman banget kamu kesian jadi prihatin mati deh kamu ngotorin dunia manusia macam
negative,"Cuman jual goyangan yak, suara macam taik...",cuman jual goyangan yak suara macam taik,cuman jual goyangan ya suara macam tahi,cuman jual goyangan suara macam tahi,cuman jual goyangan suara macam tahi
negative,Kasian ih nyari uang sampe segitunya,kasian ih nyari uang sampe segitunya,kasihan ih mencari uang sampai sebegitunya,kasihan ih mencari uang sebegitunya,kasihan ih mencari uang sebegitunya
negative,anjir tontonan yg sangat tidak bermutu!,anjir tontonan yg sangat tidak bermutu,anjir tontonan yang sangat tidak bermutu,anjir tontonan sangat bermutu,anjir tontonan sangat bermutu
negative,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu suara ga sbrpa mrsk moral ank muda yg nnton bawaannya nafsu aja nanti,dulu inul goyang ngebor baju ketat dcekal harus nya nih juga dengan sgja goyang dada mulu suara enggak sbrpa mrsk moral anak muda yang menonton bawaannya nafsu saja nanti,dulu inul goyang ngebor baju ketat dcekal nya nih sgja goyang dada mulu suara enggak sbrpa mrsk moral anak muda menonton bawaannya nafsu,dulu inul goyang ngebor baju ketat dcekal nya nih sgja goyang dada mulu suara enggak sbrpa mrsk moral anak muda menonton bawaannya nafsu
negative,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,pnyanyi dangdut yg ga berkelas bgini nih bukan y nonjolin suara malah nonjolin dada,pnyanyi dangdut yang enggak berkelas begini nih bukan nya nonjolin suara malah nonjolin dada,pnyanyi dangdut enggak berkelas begini nih bukan nya nonjolin suara malah nonjolin dada,pnyanyi dangdut enggak berkelas begini nih bukan nya nonjolin suara malah nonjolin dada
negative,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",najis najis udh homo aja harusnya org kaya gini di musnahkan dari muka bumi,najis najis sudah homo saja harusnya orang kayak begini di musnahkan dari muka bumi,najis najis homo harusnya orang kayak begini musnahkan muka bumi,najis najis homo harusnya orang kayak begini musnahkan muka bumi
negative,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",haduuh ini orang gak punya akhlak bangeg perasaan kerjaan berantem mulu banyak musuhnya,haduuh ini manusia enggak punya akhlak bangeg perasaan pekerjaan berantem mulu banyak musuhnya,haduuh manusia enggak punya akhlak bangeg perasaan pekerjaan berantem mulu banyak musuhnya,haduuh manusia enggak punya akhlak bangeg perasaan pekerjaan berantem mulu banyak musuhnya
negative,S lonte ini bkn sensasi ngjak ribut org mulu sampah,s lonte ini bkn sensasi ngjak ribut org mulu sampah,sih lonte ini bikin sensasi ngjak ribut orang mulu sampah,sih lonte bikin sensasi ngjak ribut orang mulu sampah,sih lonte bikin sensasi ngjak ribut orang mulu sampah
negative,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,kayak banci dh mirip nenek pny cucu mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm,seperti banci dah mirip nenek punya cucu mau di operasi di mua top tetap saja kalo asli nya enggak cantik luar dalam,banci dah mirip nenek punya cucu mau operasi mua top tetap kalo asli nya enggak cantik luar,banci dah mirip nenek punya cucu mau operasi mua top tetap kalo asli nya enggak cantik luar
negative,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya aku,dan lebih bagus lagi kalau mingkem saja hahahahahaha jahatnya aku,lebih bagus kalau mingkem hahahahahaha jahatnya aku,lebih bagus kalau mingkem hahahahahaha jahatnya aku
negative,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,walaupun oplas atau dipermak sekalipun tetep jelek pokoknya mukanya tegang kek banci udah sekian,walaupun operasi plastik atau dipermak sekalipun tetap jelek pokoknya mukanya tegang kayak banci sudah sekian,walaupun operasi plastik dipermak sekalipun tetap jelek pokoknya mukanya tegang kayak banci sekian,walaupun operasi plastik dipermak sekalipun tetap jelek pokoknya mukanya tegang kayak banci sekian
negative,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",mending liat dek molen biarpun cowok tp cuantik gak kaya ini cewe tp malah kayak bencong wkwkwk,mending lihat adik molen biarpun cowok tapi cantik enggak kayak ini cewek tapi malah seperti bencong wkwkwk,mending lihat adik molen biarpun cowok cantik enggak kayak cewek malah bencong wkwkwk,mending lihat adik molen biarpun cowok cantik enggak kayak cewek malah bencong wkwkwk
negative,bencong rombeng.menjijikan!!!gay jg.,bencong rombeng menjijikan gay jg,bencong rombeng menjijikan gay juga,bencong rombeng menjijikan gay,bencong rombeng menjijikan gay
negative,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",orang gila itu pengen hitz cri tenar rela dipenjara cari sensasi settingan supaya beken smpe hina org astagfirullah sekaya apa sih org kaya mulut nya ky sampah ga sekolah ya,manusia gila itu pengin hitz cari tenar rela dipenjara cari sensasi settingan supaya beken sampai hina orang astagfirullah sekaya apa sih orang kayak mulut nya kaya sampah enggak sekolah ya,manusia gila pengin hitz cari tenar rela dipenjara cari sensasi settingan beken hina orang astagfirullah sekaya apa sih orang kayak mulut nya kaya sampah enggak sekolah,manusia gila pengin hitz cari tenar rela dipenjara cari sensasi settingan beken hina orang astagfirullah sekaya apa sih orang kayak mulut nya kaya sampah enggak sekolah
negative,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,cowok macam anjing cuih orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia karena semua orang juga tau klo dia orang kaya orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling aneh,cowok macam anjing cuih manusia kayak tidak akan pernah berkoar saya manusia yang ping kayak sedunia karena semua manusia juga tahu kalo dia manusia kayak manusia kayak malahn berperilaku sebagai mana manusia sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus kamu harta tidak akan di bawa mati yang pants di buang ke laut itu kamu manusia yang paling aneh,cowok macam anjing cuih manusia kayak pernah berkoar manusia ping kayak sedunia semua manusia tahu kalo manusia kayak manusia kayak malahn berperilaku mana manusia sederhana buat apa memamerkan kekayaan dunia akhirat mampus kamu harta bawa mati pants buang laut kamu manusia paling aneh,cowok macam anjing cuih manusia kayak pernah berkoar manusia ping kayak sedunia semua manusia tahu kalo manusia kayak manusia kayak malahn berperilaku mana manusia sederhana buat apa memamerkan kekayaan dunia akhirat mampus kamu harta bawa mati pants buang laut kamu manusia paling aneh
negative,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",cari sensasi supaya tenar trus banya folowers nya gak gt gt jg kalee darar orang setres ngomong aja masih belepotan gk jelas gt kamfungan,cari sensasi supaya tenar terus banya folowers nya enggak begitu begitu juga kalee darar manusia setres mengomong saja masih belepotan enggak jelas begitu kamfungan,cari sensasi tenar terus banya folowers nya enggak kalee darar manusia setres mengomong belepotan enggak jelas kamfungan,cari sensasi tenar terus banya folowers nya enggak kalee darar manusia setres mengomong belepotan enggak jelas kamfungan
negative,ngomong aja belepotan banyak gaya lu bencong,ngomong aja belepotan banyak gaya lu bencong,mengomong saja belepotan banyak gaya kamu bencong,mengomong belepotan banyak gaya kamu bencong,mengomong belepotan banyak gaya kamu bencong
negative,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,orang kebanyakan makan taik ya gini otaknya udah penuh sama taik jdi gak bisa berfikir positif dari cara dia berbicara aja gak bermoral dasar kaum laknat banci anjing kbanyakan burit sih lo jdi stres manusia ogah jumpa sama lo anjing cuma anjing yg mau ketemu sama lo taik,manusia kebanyakan makan tahi ya begini otaknya sudah penuh sama tahi jadi enggak bisa berpikir positif dari cara dia berbicara saja enggak bermoral dasar kaum laknat banci anjing kbanyakan burit sih kamu jadi stres manusia ogah jumpa sama kamu anjing cuma anjing yang mau ketemu sama kamu tahi,manusia kebanyakan makan tahi begini otaknya penuh sama tahi jadi enggak berpikir positif cara berbicara enggak bermoral dasar kaum laknat banci anjing kbanyakan burit sih kamu jadi stres manusia ogah jumpa sama kamu anjing cuma anjing mau ketemu sama kamu tahi,manusia kebanyakan makan tahi begini otaknya penuh sama tahi jadi enggak berpikir positif cara berbicara enggak bermoral dasar kaum laknat banci anjing kbanyakan burit sih kamu jadi stres manusia ogah jumpa sama kamu anjing cuma anjing mau ketemu sama kamu tahi
negative,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,sikat abiss lahh orng sialan kaya gini pemimpin negara sendiri gak di hormatin jgn mentang bapak president kita terlalu baik jadi di sembarangin saya marah gak boleh kita hina pemimpin kita sendiri saya harap segera di tindak hukum orng ini,sikat habis lah orang sialan kayak begini pemimpin negara sendiri enggak di hormatin jangan mentang bapak president kita terlalu baik jadi di sembarangin saya marah enggak boleh kita hina pemimpin kita sendiri saya harap segera di tindak hukum orang ini,sikat habis lah orang sialan kayak begini pemimpin negara sendiri enggak hormatin jangan mentang bapak president terlalu baik jadi sembarangin marah enggak hina pemimpin sendiri harap segera tindak hukum orang,sikat habis lah orang sialan kayak begini pemimpin negara sendiri enggak hormatin jangan mentang bapak president terlalu baik jadi sembarangin marah enggak hina pemimpin sendiri harap segera tindak hukum orang
negative,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,jijik banget lihat tingkah si upil ini mudahan secepatnya tidur selamanya,jijik banget lihat tingkah sih upil ini mudahan secepatnya tidur selamanya,jijik banget lihat tingkah sih upil mudahan secepatnya tidur selamanya,jijik banget lihat tingkah sih upil mudahan secepatnya tidur selamanya
negative,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",wong edan nih orang udh makan uang rakyat tidur pula,wong edan nih manusia sudah makan uang rakyat tidur pula,wong edan nih manusia makan uang rakyat tidur,wong edan nih manusia makan uang rakyat tidur
negative,"Manusia laknat, matinya di apain ya",manusia laknat matinya di apain ya,manusia laknat matinya di apai ya,manusia laknat matinya apai,manusia laknat matinya apai
